platform,komentar
YouTube,Fileeemmm nya kereeennn..🎉🎉🎉
YouTube,Plis ini yg legal nonton dimana.yaahhh ga sempat ke bioskop aku loh😢😢
YouTube,aku udah nonton...tp kesan horornya tipis bngt gak kerasa .pdhl.mskpn film komedi horor ny hrs ttp ada..malah jd kyk nonton drama  biasa aj. sy pernah nonton horor komedi jg yg menceritakan ttg seorng penulis novel yg dibantu hantu utk menceritakan kisah nya knp sampe meninggal..suer lucu bngt tp horor nya ttp kerasa serem serem nya ttp ada...nah di film agak lain kurang greget klo menurut saya.
YouTube,Kisah cinta marlina dan bg tohar bisa tu
YouTube,"AMPE SEKARANG PUN MASIH LUCU NIH FILM, HERAN BANGET DEH 🤣🤣🤣"
YouTube,"Habis nonton malem ini. Nggak nyangka akan sebagus ini. Ada komedi dan dramanya juga. Plus bonus blooper di akhirnya wkwkw.

Agak Laen emang. Terus berkarya 🎉"
YouTube,Tetap stayhaLaL yak teman-teman
YouTube,"Pngn bgt nonton ini abang²
Tp dalam dana blm bisa😔"
YouTube,Mantab
YouTube,"Kocak Nopek bilang ""Cuuuk Setanne Batak TOK!"" Joke rasis yg dapat diterima wkwkwk"
YouTube,Mantaabbb. sempat pesimis tkutnya jokes2 nya ga relate sama penonton malaysia.
YouTube,​ @Mainan_abangIlham relate bro menarik filem nya
YouTube,"Jgn risau lah,orang malaysia sekarang lagi bnyak yg suka tengok komedi2 dari indonesia,acara komedi di malaysia skrg sudah garing,jadi org2 dimalaysia memang suka acara lawak dri indonesia​ @Mainan_abangIlham "
YouTube,"​ @Mainan_abangIlham  aku dari Malaysia, sumpah setiap detik bikin ngakak mulu, ngak ada seremnya 😂 ya wajar ini film horror komedi, aku rate 1000/10, nice banget 👍👍🤩"
YouTube,Maju terus bro
YouTube,Kocak yak..
YouTube,Jangan berlebihan
YouTube,Tengok kt mne
YouTube,masih ada d bioskop. aku smalem br nntn
YouTube,"Jegel (?) juga langsung bilang ""dasar orang Jawa"". Aku yg Jawa ikut ketawa kok 😂. Please, make more racist jokes! (In a good way)"
YouTube,agak laen part 2 yokk
YouTube,Aq sdh nonton 🤣🤣🤣
YouTube,Bila di Malaysia ni keluar 😭
YouTube,"sudah laama tidak menonton film komedi se ngakak ini 😂 , ditunggu part 2 ato sejenisnya"
YouTube,Gw dah nonton seruu banget ada adegan agak agak horor trus komedinya ngakak abis! Pokoknya rekomendid bgt!!
YouTube,"Ada Arie kriting,ga jadi deh liat"
YouTube,wehhh udah nonton bagus kali film nyaa g cuma comedy aja smua nya dapat I LOVE FILM ini!!!!!!!!:face-blue-smiling::face-blue-smiling::face-blue-smiling::face-blue-smiling:🤗🤗🤭🤭
YouTube,baru trailer aja gw udh ktawa 😆😆😆
YouTube,"Emang agak laen nih film, kocak bangetttt"
YouTube,"sumpah, sampe 3 kali nonton, lucu abis, keren parah ni film 🤣"
YouTube,Sumpah lucu banget. Ngakak Sampe kena vertigo njirr
